"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
1878,"ESPAÑA","BAENA","Centro Privado de Educación Infantil","LA NORIA",14011675,"Centro privado",2
1879,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","RATÓN PÉREZ",14011687,"Centro privado",2
1880,"ESPAÑA","CÓRDOBA","Escuela de Educación Infantil","CERRO MURIANO",14011699,"Centro público",0
1881,"ESPAÑA","VILLAFRANCA DE CÓRDOBA","Escuela de Educación Infantil","NUESTRA SEÑORA DE LOS REMEDIOS",14011717,"Centro público",0
1882,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","BABIS",14011742,"Centro privado",2
1883,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","CENTER BABY",14011754,"Centro privado",2
1884,"ESPAÑA","MONTILLA","Centro Público de Educación de Personas Adultas (Presencial)",,14500017,"Centro público",0
1885,"ESPAÑA","MONTEMAYOR","Centro Público de Educación de Personas Adultas (Presencial)",,14500029,"Centro público",0
1886,"ESPAÑA","RAMBLA (LA)","Centro Público de Educación de Personas Adultas (Presencial)",,14500030,"Centro público",0
1887,"ESPAÑA","AGUILAR DE LA FRONTERA","Centro Privado de Enseñanzas de Régimen General","GARABATOS",14010166,"Centro privado",1
1888,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL PATITO COLORIN",14010178,"Centro privado",2
1889,"ESPAÑA","MONTORO","Escuela Oficial de Idiomas (EOI)",,14010181,"Centro público",0
1890,"ESPAÑA","PEDROCHE","Centro Privado de Enseñanzas de Régimen General","SIMÓN OBEJO Y VALERA",14010191,"Centro privado",1
1891,"ESPAÑA","CÓRDOBA","Centro Privado de Enseñanzas de Régimen General","MICKEY",14010208,"Centro privado",1
1892,"ESPAÑA","CÓRDOBA","Centro Privado de Enseñanzas de Régimen General","EL LAPICERO",14010211,"Centro privado",1
1893,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","MI GRANJA II",14010233,"Centro privado",2
1894,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL VIAL",14010245,"Centro privado",2
1895,"ESPAÑA","VILLA DEL RÍO","Escuela de Educación Infantil","PEQUILANDIA",14010257,"Centro público",0
1896,"ESPAÑA","PEÑARROYA-PUEBLONUEVO","Escuela de Educación Infantil",,14010269,"Centro público",0
1897,"ESPAÑA","FUENTE OBEJUNA","Escuela de Educación Infantil",,14010270,"Centro público",0
1898,"ESPAÑA","AGUILAR DE LA FRONTERA","Escuela de Educación Infantil","LA CAMPIÑA",14010282,"Centro público",0
1899,"ESPAÑA","CÓRDOBA","Colegio Público","GUILLERMO ROMERO FERNANDEZ",14008081,"Centro público",0
1900,"ESPAÑA","CÓRDOBA","Colegio Público","ANTONIO GALA",14008093,"Centro público",0
1901,"ESPAÑA","CÓRDOBA","Colegio Público","VISTA ALEGRE",14008101,"Centro público",0
1902,"ESPAÑA","PALMA DEL RÍO","Escuela de Educación Infantil","PALMA DEL RÍO",14008123,"Centro público",0
1903,"ESPAÑA","LUCENA","Centro Privado de Educación Primaria","LA PURISIMA",14008135,"Centro privado",2
1904,"ESPAÑA","ESPIEL","Escuela de Educación Infantil","ESPELEÑA",14011523,"Centro público",0
1905,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","SAN CAYETANO",14011547,"Centro privado",2
1906,"ESPAÑA","LUCENA","Centro Privado de Educación Infantil","URBUJITAS",14011559,"Centro privado",2
1907,"ESPAÑA","ALMODÓVAR DEL RÍO","Escuela Pública de Música y/o Danza","ESCUELA MUNICIPAL DE MÚSICA",14011572,"Centro público",0
1908,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","JESÚS SALVADOR",14011584,"Centro privado",2
1909,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","FANTASIA",14011602,"Centro privado",2
1910,"ESPAÑA","RAMBLA (LA)","Escuela Pública de Música y/o Danza","ESCUELA MUNICIPAL DE MÚSICA",14011626,"Centro público",0
